Location,Season,Genotype,Reps,Iron_ton_ha,Stage,Fe
West,2021,CV1,7,22.6629,Vegetative,0.52
West,2021,CV1,8,28.2436,Vegetative,0.49
West,2021,CV1,9,30.1248,Vegetative,0.58
West,2021,CV1,10,19.6726,Vegetative,0.56
West,2021,CV1,11,16.7073,Vegetative,0.57
West,2021,CV1,12,18.9435,Vegetative,0.44
West,2021,CV1,13,20.4889,Vegetative,0.36
West,2021,CV1,14,21.8274,Vegetative,0.23
West,2021,CV1,15,26.4239,Vegetative,0.55
West,2021,CV1,16,35.1451,Vegetative,0.32
West,2021,CV1,17,30.843,Vegetative,0.19
West,2021,CV1,18,17.4452,Vegetative,0.47
West,2021,CV1,19,28.8938,Vegetative,0.46
West,2021,CV2,1,11.1327,Vegetative,0.38
West,2021,CV2,2,16.3438,Vegetative,0.41
West,2021,CV2,3,17.0507,Vegetative,0.39
West,2021,CV2,4,12.1119,Vegetative,0.38
West,2021,CV2,5,6.3052,Vegetative,0.5
West,2021,CV2,6,12.4231,Vegetative,0.21
West,2021,CV2,7,12.4161,Vegetative,0.54
West,2021,CV2,8,16.6945,Vegetative,0.42
West,2021,CV2,9,21.1292,Vegetative,0.37
West,2021,CV2,10,12.0065,Vegetative,0.57
West,2021,CV2,11,14.0619,Vegetative,0.43
West,2021,CV2,12,8.5302,Vegetative,0.44
West,2021,CV2,13,13.1132,Vegetative,0.82
West,2021,CV2,14,10.9491,Vegetative,0.57
West,2021,CV2,15,10.6996,Vegetative,0.32
West,2021,CV2,16,11.9281,Vegetative,0.24
West,2021,CV2,17,21.0404,Vegetative,0.27
West,2021,CV2,18,13.4833,Vegetative,0.29
West,2021,CV2,19,18.6508,Vegetative,0.26
West,2021,CV3,1,25.3528,Vegetative,0.28
West,2021,CV3,2,15.284,Vegetative,0.24
West,2021,CV3,3,11.9441,Vegetative,0.13
West,2021,CV3,4,11.1118,Vegetative,0.33
West,2021,CV3,5,7.0114,Vegetative,0.12
West,2021,CV3,6,8.3692,Vegetative,0.27
West,2021,CV3,7,13.7659,Vegetative,0.3
West,2021,CV3,8,9.4099,Vegetative,0.23
West,2021,CV3,9,22.6976,Vegetative,0.08
West,2021,CV3,10,19.8669,Vegetative,0.15
West,2021,CV3,11,15.3977,Vegetative,0.21
West,2021,CV3,12,11.9296,Vegetative,0.08
West,2021,CV3,13,15.3995,Vegetative,0.13
West,2021,CV3,14,13.765,Vegetative,0.29
West,2021,CV3,15,17.1564,Vegetative,0.21
West,2021,CV3,16,16.2168,Vegetative,0.24
West,2021,CV3,17,17.2435,Vegetative,0.33
West,2021,CV3,18,24.2913,Vegetative,0.38
West,2021,CV3,19,28.1477,Vegetative,0.38
West,2021,CV4,1,23.6487,Vegetative,0.33
West,2021,CV4,2,10.384,Vegetative,0.33
West,2021,CV4,3,10.5763,Vegetative,0.28
West,2021,CV4,4,8.4573,Vegetative,0.25
West,2021,CV4,5,6.1191,Vegetative,0.25
West,2021,CV4,6,14.8969,Vegetative,0.3
West,2021,CV4,7,8.2029,Vegetative,0.41
West,2021,CV4,8,9.5931,Vegetative,0.39
West,2021,CV4,9,16.9283,Vegetative,0.33
West,2021,CV4,10,11.0397,Vegetative,0.47
West,2021,CV4,11,23.8366,Vegetative,0.54
West,2021,CV4,12,27.9037,Vegetative,0.54
West,2021,CV4,13,14.5386,Vegetative,0.34
West,2021,CV4,14,19.6125,Vegetative,0.34
West,2021,CV4,15,18.3279,Vegetative,0.35
West,2021,CV4,16,19.9457,Vegetative,0.44
West,2021,CV4,17,15.3699,Vegetative,0.37
West,2021,CV4,18,15.2894,Vegetative,0.29
