grain_weight_mg,grain_area_mm2
47.629,19.200
43.008,17.400
50.164,19.000
50.635,18.500
48.750,18.300
41.661,17.650
47.124,18.350
49.369,19.550
54.146,19.950
39.476,16.800
46.324,18.200
41.328,17.000
41.667,17.150
39.420,16.200
49.043,18.800
51.419,20.150
46.756,17.750
46.392,17.500
52.848,19.800
40.868,16.600
47.174,18.300
50.605,19.350
48.559,18.650
51.307,19.800
48.757,18.950
48.576,19.150
44.561,17.600
50.419,18.850
41.831,16.950
51.937,19.650
45.083,17.800
48.088,19.050
50.526,20.350
46.894,18.350
46.704,18.450
40.079,16.850
50.028,18.750
51.719,20.000
50.390,19.000
50.892,19.400
49.972,18.550
46.405,19.150
48.776,17.650
46.274,18.600
42.474,17.900
45.649,18.000
46.033,17.700
50.504,19.000
47.077,18.200
43.735,17.550
44.773,17.350
46.436,19.150
